pair_id,ancestry,exposure,outcome,method,nsnp,b,se,pval,or,or_lo,or_hi,nIV_used,meanF,id.exposure,id.outcome
scr-mort,EUR,leisure_screen_tv_time,all_cause_mortality_EUR,Weighted median,108,0.182586932894762,0.0329370176790823,2.96455081730226e-08,1.20031849357939,1.12527829482646,1.28036281571653,108,40.7726199956997,ukb-b-5192,ebi-a-GCST006701
scr-mort,EUR,leisure_screen_tv_time,all_cause_mortality_EUR,Simple mode,108,0.221381996560234,0.109092255162008,0.0449090928875487,1.2477999948412,1.00758983432085,1.5452764350041,108,40.7726199956997,ukb-b-5192,ebi-a-GCST006701
scr-mort,EUR,leisure_screen_tv_time,all_cause_mortality_EUR,Weighted mode,108,0.205373614032447,0.110336146786724,0.0654402931548322,1.22798377123684,0.989173796108036,1.52444812868493,108,40.7726199956997,ukb-b-5192,ebi-a-GCST006701
sug-cvdm,EAS,sugar_intake_total,cardiovascular_mortality_EAS,Inverse variance weighted,33,0.451002028958466,0.204625053424643,0.0275214533925194,1.56988446732035,1.05120478875036,2.3444882168616,33,61.5740512448513,ukb-b-5237,bbj-a-159
sug-cvdm,EAS,sugar_intake_total,cardiovascular_mortality_EAS,MR Egger,33,1.04598849481662,0.411888912591229,0.0163340139174585,2.84621059798545,1.26958011302423,6.38078265796691,33,61.5740512448513,ukb-b-5237,bbj-a-159
sug-cvdm,EAS,sugar_intake_total,cardiovascular_mortality_EAS,Weighted median,33,0.328387727242702,0.223928560996237,0.142516385290018,1.38872731533037,0.895375359705875,2.15391627147103,33,61.5740512448513,ukb-b-5237,bbj-a-159
sug-cvdm,EAS,sugar_intake_total,cardiovascular_mortality_EAS,Simple mode,33,0.814932080296393,0.563875510428344,0.158114683919459,2.25902223501841,0.748066111808111,6.82183215862155,33,61.5740512448513,ukb-b-5237,bbj-a-159
sug-cvdm,EAS,sugar_intake_total,cardiovascular_mortality_EAS,Weighted mode,33,0.60761131885351,1.43036855479445,0.673829946941103,1.83604044138436,0.111257154649932,30.2995750071606,33,61.5740512448513,ukb-b-5237,bbj-a-159
sug-cvdm,EUR,sugar_intake_total,cardiovascular_mortality_EUR,Inverse variance weighted,38,0.313441738240666,0.114757132135195,0.00630757043490987,1.36812575102651,1.0925536553779,1.71320471210581,38,74.5246004052553,ukb-b-5237,ebi-a-GCST005194
sug-cvdm,EUR,sugar_intake_total,cardiovascular_mortality_EUR,MR Egger,38,0.290435872384539,0.234201136478765,0.22295604012144,1.3370101268303,0.844848164195019,2.11587851522411,38,74.5246004052553,ukb-b-5237,ebi-a-GCST005194
sug-cvdm,EUR,sugar_intake_total,cardiovascular_mortality_EUR,Weighted median,38,0.331780110822358,0.125426015717699,0.008163646297981,1.3934464110372,1.08974652139202,1.78178398583201,38,74.5246004052553,ukb-b-5237,ebi-a-GCST005194
sug-cvdm,EUR,sugar_intake_total,cardiovascular_mortality_EUR,Simple mode,38,0.430364524865944,0.303685285917474,0.164808011374287,1.53781799428753,0.848013574602572,2.78873387688733,38,74.5246004052553,ukb-b-5237,ebi-a-GCST005194
sug-cvdm,EUR,sugar_intake_total,cardiovascular_mortality_EUR,Weighted mode,38,0.322042689547416,0.561023744987967,0.569423065994081,1.37994368387119,0.459524118206059,4.1439491317452,38,74.5246004052553,ukb-b-5237,ebi-a-GCST005194
upf-mort,EUR,processed_meat_intake,all_cause_mortality_EUR,Inverse variance weighted,23,-0.0990730567256507,0.0534130665345616,0.0636181036142525,0.905676539844063,0.815655930177505,1.0056323560909,23,38.5385409448749,ukb-b-6324,ebi-a-GCST006701
upf-mort,EUR,processed_meat_intake,all_cause_mortality_EUR,MR Egger,23,-0.496637930084848,0.245496536204123,0.0559898290086,0.608573290005123,0.376133501644566,0.984654245602507,23,38.5385409448749,ukb-b-6324,ebi-a-GCST006701
upf-mort,EUR,processed_meat_intake,all_cause_mortality_EUR,Weighted median,23,-0.108804449377896,0.05620156160103,0.052871566781292,0.89690579083586,0.803354245215381,1.0013515238464,23,38.5385409448749,ukb-b-6324,ebi-a-GCST006701
upf-mort,EUR,processed_meat_intake,all_cause_mortality_EUR,Simple mode,23,-0.0658593644632478,0.117664267650186,0.581323289975975,0.936262526816187,0.743429507664031,1.17911316417155,23,38.5385409448749,ukb-b-6324,ebi-a-GCST006701
upf-mort,EUR,processed_meat_intake,all_cause_mortality_EUR,Weighted mode,23,-0.0796446362403833,0.121048072186613,0.517390926137223,0.923444446776092,0.728404423879844,1.17070904339026,23,38.5385409448749,ukb-b-6324,ebi-a-GCST006701
