pubmed_id,year,journal,phylum_candidate,phylum_bucket,title,authors_first3,doi,query_label,title_boost,triage_score,triage,pub_types,year_weight
11509200,2001,Pharmacol Biochem Behav,Mollusca,Mollusca,The effect of dopamine receptor blockade on motor behavior in Aplysia californica.,Flinn JM; Gochman P; Wanschura P,10.1016/s0091-3057(01)00562-7,Q-mollusc,1,1.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
9685582,1998,Brain Res Mol Brain Res,Mollusca,Mollusca,Putative leech dopamine1-like receptor molecular characterization: sequence homologies between dopamine and serotonin leech CNS receptors explain pharmacological cross-reactivities.,Salzet B; Stefano GB; Verger-Bocquet M,10.1016/s0169-328x(98)00103-x,Q-mollusc,1,1.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
8622118,1996,J Neurosci,Mollusca,Mollusca,Structure and pharmacological properties of a molluscan glutamate-gated cation channel and its likely role in feeding behavior.,Stühmer T; Amar M; Harvey RJ,10.1523/JNEUROSCI.16-09-02869.1996,Q-mollusc,1,1.17,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",0.9
40794761,2026,Genetics,Nematoda,Nematoda,Harnessing microbial tools: Escherichia coli as a vehicle for neuropeptide functional analysis in Caenorhabditis elegans.,DiLoreto EM; Shastry S; Leptich EJ,10.1093/genetics/iyaf155,Q-nematode,0,0.33,pending,Journal Article,1.1
41676674,2026,bioRxiv,Nematoda,Nematoda,Allele-specific rescue of neurexin behavioral phenotypes by monoamine-targeting compounds.,Smisko WR; Haury WR; Perni M,10.64898/2026.02.06.703315,Q-nematode,0,0.33,pending,Journal Article;Preprint,1.1
41871151,2026,PLoS One,Nematoda,Nematoda,Specific genes of the dopaminergic (dop-3) and serotonergic (tph-1) pathways contribute to the effects of ethanol consumption in Caenorhabditis elegans.,Rubio-Tomás T; Hunn CA; Hajdú G,10.1371/journal.pone.0344966,Q-nematode,0,0.33,pending,Journal Article,1.1
40569794,2025,Electromagn Biol Med,Nematoda,Nematoda,Effect of 60 Hz magnetic fields on social feeding behavior of npr-1 receptor mutants in Caenorhabditis elegans.,Kakikawa M; Kenmochi A; Yamada S,10.1080/15368378.2025.2523773,Q-nematode,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
40501702,2025,bioRxiv,Nematoda,Nematoda,Harnessing Microbial Tools: Escherichia coli as a Vehicle for Neuropeptide Functional Analysis in Caenorhabditis elegans.,DiLoreto EM; Shastry S; Leptich EJ,10.1101/2025.03.03.641308,Q-nematode,0,0.33,pending,Journal Article;Preprint,1.1
38338915,2024,Int J Mol Sci,Nematoda,Nematoda,Nicotine Motivated Behavior in C. elegans.,Salim C; Batsaikhan E; Kan AK,10.3390/ijms25031634,Q-nematode,0,0.33,pending,Journal Article,1.1
38370756,2024,bioRxiv,Nematoda,Nematoda,Roles of progranulin and FRamides in neural versus non-neural tissues on dietary restriction-related longevity and proteostasis in C. elegans.,Mir DA; Cox M; Horrocks J,10.1101/2024.02.06.579250,Q-nematode,0,0.33,pending,Preprint;Journal Article,1.1
38537886,2024,Fitoterapia,Nematoda,Nematoda,Dendrobium officinale phenolic extract maintains proteostasis by regulating autophagy in a Caenorhabditis elegans model of Alzheimer's disease.,Yu YT; Lin HR; Chen XY,10.1016/j.fitote.2024.105924,Q-nematode,0,0.33,pending,Journal Article,1.1
39323482,2024,J Clin Med Sci,Nematoda,Nematoda,Roles of Progranulin and FRamides in Neural Versus Non-Neural Tissues on Dietary Restriction-Related Longevity and Proteostasis in C. elegans.,Mir DA; Cox M; Horrocks J,,Q-nematode,0,0.33,pending,Journal Article,1.1
35203579,2022,Biomedicines,Nematoda,Nematoda,Aripiprazole Offsets Mutant ATXN3-Induced Motor Dysfunction by Targeting Dopamine D(2) and Serotonin 1A and 2A Receptors in C. elegans.,Jalles A; Vieira C; Pereira-Sousa J,10.3390/biomedicines10020370,Q-nematode,1,1.4300000000000002,boosted_by_title,Journal Article,1.1
31083672,2019,PLoS One,Nematoda,Nematoda,"Dopamine-dependent, swimming-induced paralysis arises as a consequence of loss of function mutations in the RUNX transcription factor RNT-1.",Robinson SB; Refai O; Hardaway JA,10.1371/journal.pone.0216417,Q-nematode,1,1.4300000000000002,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural",1.1
24244189,2013,PLoS Genet,Nematoda,Nematoda,Neuron-specific feeding RNAi in C. elegans and its use in a screen for essential genes required for GABA neuron function.,Firnhaber C; Hammarlund M,10.1371/journal.pgen.1003921,Q-nematode,1,1.105,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",0.85
22483307,2012,CNS Neurol Disord Drug Targets,Nematoda,Nematoda,"RNAi of cat-2, a putative tyrosine hydroxylase, increases alpha synuclein aggregation and associated effects in transgenic C. elegans.",Kaur S; Sammi SR; Jadiya P,10.2174/187152712800792811,Q-nematode,2,1.955,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",0.85
10844141,2000,Eur J Pharmacol,Nematoda,Nematoda,Altered behaviour following RNA interference knockdown of a C. elegans G-protein coupled receptor by ingested double stranded RNA.,Vaz Gomes A; Wahlestedt C,10.1016/s0014-2999(00)00251-x,Q-nematode,2,2.3,boosted_by_title,Journal Article,1.0
9741632,1998,Cell,Nematoda,Nematoda,Natural variation in a neuropeptide Y receptor homolog modifies social behavior and food response in C. elegans.,de Bono M; Bargmann CI,10.1016/s0092-8674(00)81609-8,Q-nematode,0,9999.0,canonical_anchor,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
39994055,2025,Psychopharmacology (Berl),cross-phylum,cross-phylum,Triggered temptations: A new procedure to compare reward-seeking behaviour induced by discriminative and conditioned stimuli in rats.,LeCocq MR; Najafipashaki S; Casale D,10.1007/s00213-025-06764-4,Q-reward-fitness-decoupling,0,0.33,pending,Journal Article;Comparative Study,1.1
40269188,2025,Mol Psychiatry,cross-phylum,cross-phylum,"Estradiol, via estrogen receptor β signaling, mediates stress-susceptibility in the male brain.",Georgiou P; Postle AF; Mou TM,10.1038/s41380-025-03027-8,Q-reward-fitness-decoupling,0,0.33,pending,Journal Article,1.1
39474501,2024,PNAS Nexus,cross-phylum,cross-phylum,A potential evolutionary trap for the extended phenotype of a nematomorph parasite.,Sawada Y; Sato N; Osawa T,10.1093/pnasnexus/pgae464,Q-supernormal-manipulation,0,0.33,pending,Journal Article,1.1
35764228,2022,J Affect Disord,cross-phylum,cross-phylum,Electroconvulsive therapy effects on anhedonia and reward circuitry anatomy: A dimensional structural neuroimaging approach.,Cano M; Lee E; Worthley A,10.1016/j.jad.2022.06.062,Q-reward-fitness-decoupling,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural",1.1
