case,spec_id,dv,treatment,controls,fe,sample,waves_or_lag,branch,n,beta,se,p,ci_lo,ci_hi,is_focal_broad,is_focal_narrow
C13,705,ln_savings,ln_house_debts_lag,extended,person_year,rural,pid,bitter,19432,0.0073289785761518,0.0116125700697692,0.5279590610939914,-0.01543165876059583,0.03008961591289943,False,False
C13,706,ln_savings,ln_house_debts_lag,extended,person_year,rural,provcd,bitter,19432,0.0073289785761518,0.0110069682848261,0.5055076358975346,-0.014244679262107356,0.028902636414410956,False,False
C13,707,ln_savings,ln_house_debts_lag,extended,person_year_province,rural,pid,bitter,19432,-0.0066193648141253,0.0114458916593364,0.5630494651922406,-0.029053312466424643,0.01581458283817404,False,False
C13,708,ln_savings,ln_house_debts_lag,extended,person_year_province,rural,provcd,bitter,19432,-0.0066193648141253,0.0114437016027397,0.5629747590339806,-0.029049019955495112,0.01581029032724451,False,False
C13,709,ln_savings,ln_house_debts_lag,minimal,person_year,young_lt40,pid,bitter,7486,0.0864156893178638,0.015694262826433,3.666700032489701e-08,0.055654934178055115,0.11717644445767247,False,False
C13,710,ln_savings,ln_house_debts_lag,minimal,person_year,young_lt40,provcd,bitter,7486,0.0864156893178638,0.0180872087183465,1.7729059147431059e-06,0.050964760229904656,0.12186661840582294,False,False
C13,711,ln_savings,ln_house_debts_lag,minimal,person_year_province,young_lt40,pid,bitter,7486,0.0836951462928593,0.0152146486124844,3.7773272731911334e-08,0.05387443501238988,0.11351585757332873,False,False
C13,712,ln_savings,ln_house_debts_lag,minimal,person_year_province,young_lt40,provcd,bitter,7486,0.0836951462928593,0.0285339788377641,0.0033551498699004,0.027768547770841673,0.13962174481487694,False,False
C13,713,ln_savings,ln_house_debts_lag,demog,person_year,young_lt40,pid,bitter,7486,0.0698280279696911,0.0159553419105672,1.2061842139310386e-05,0.038555557824979395,0.10110049811440282,False,False
C13,714,ln_savings,ln_house_debts_lag,demog,person_year,young_lt40,provcd,bitter,7486,0.0698280279696911,0.0185520086927157,0.00016727938357341543,0.03346609093196834,0.10618996500741387,False,False
C13,715,ln_savings,ln_house_debts_lag,demog,person_year_province,young_lt40,pid,bitter,7486,0.0576624351651329,0.0152651935623976,0.00015848689518649373,0.0277426557828336,0.0875822145474322,False,False
C13,716,ln_savings,ln_house_debts_lag,demog,person_year_province,young_lt40,provcd,bitter,7486,0.0576624351651329,0.0267225981551169,0.0309421831742174,0.0052861427811037795,0.11003872754916202,False,False
C13,717,ln_savings,ln_house_debts_lag,extended,person_year,young_lt40,pid,bitter,7485,0.0665743990513977,0.0160678473717297,3.422983699197246e-05,0.03508141820280749,0.0980673798999879,False,False
C13,718,ln_savings,ln_house_debts_lag,extended,person_year,young_lt40,provcd,bitter,7485,0.0665743990513977,0.0184077576356316,0.0002984415061568,0.030495194085559764,0.10265360401723564,False,False
C13,719,ln_savings,ln_house_debts_lag,extended,person_year_province,young_lt40,pid,bitter,7485,0.0564687525185087,0.0153190226128959,0.0002276408309014,0.026443468197232735,0.08649403683978465,False,False
C13,720,ln_savings,ln_house_debts_lag,extended,person_year_province,young_lt40,provcd,bitter,7485,0.0564687525185087,0.0268060026677975,0.035154767583206,0.003928987289625596,0.1090085177473918,False,False
C13,721,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,all,pid,bitter,38690,1.1003770663843553,0.3559802548391843,0.0019940419792018,0.40265576689955407,1.7980983658691565,False,False
C13,722,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,all,provcd,bitter,38690,1.1003770663843553,0.3099407876153915,0.00038481932609,0.49289312265818797,1.7078610101105225,False,False
C13,723,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,all,pid,bitter,38690,1.2514665586475997,0.3531718526941764,0.0003948444125194,0.559249727367014,1.9436833899281853,False,False
C13,724,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,all,provcd,bitter,38690,1.2514665586475997,0.3911267489917225,0.0013759718363158,0.48485813062382366,2.0180749866713756,False,False
C13,725,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,all,pid,bitter,38688,0.9310845657080552,0.3583322230292166,0.0093663799056426,0.22875340857079074,1.6334157228453197,False,False
C13,726,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,all,provcd,bitter,38688,0.9310845657080552,0.2933598019194644,0.0015042335812578,0.356099353945905,1.5060697774702054,False,False
C13,727,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,all,pid,bitter,38688,0.9181402001012844,0.3554436696111067,0.0097922002051156,0.22147060766351534,1.6148097925390534,False,False
C13,728,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,all,provcd,bitter,38688,0.9181402001012844,0.3711005170904936,0.0133571889239714,0.19078318660391702,1.6454972135986519,False,False
C13,729,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,all,pid,bitter,38687,0.9326414379585398,0.3585061689005714,0.0092826395239092,0.22996934691341986,1.6353135290036598,False,False
C13,730,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,all,provcd,bitter,38687,0.9326414379585398,0.2921532256615728,0.0014114348940752,0.3600211156618571,1.5052617602552225,False,False
C13,731,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,all,pid,bitter,38687,0.9187983316715836,0.3556394832659917,0.0097800496126098,0.22174494447023996,1.6158517188729273,False,False
C13,732,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,all,provcd,bitter,38687,0.9187983316715836,0.3694364324181124,0.012881567175563,0.19470292413208334,1.6428937392110838,False,False
C13,733,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,urban,pid,bitter,19400,1.5691614964354808,0.4693495539325049,0.0008279779791594,0.6492363707277712,2.48908662214319,False,False
C13,734,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,urban,provcd,bitter,19400,1.5691614964354808,0.5429061183208918,0.0038487447249164,0.5050655045265329,2.6332574883444284,False,False
C13,735,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,urban,pid,bitter,19400,1.9131584704664455,0.4634676268516415,3.660553486084517e-05,1.0047619218372281,2.821555019095663,False,False
C13,736,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,urban,provcd,bitter,19400,1.9131584704664455,0.6262765713770275,0.0022520009952874,0.6856563905674715,3.1406605503654195,False,False
C13,737,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,urban,pid,bitter,19400,1.2956026073524054,0.4723700845992696,0.006092329795264,0.36975724153783696,2.221447973166974,False,False
C13,738,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,urban,provcd,bitter,19400,1.2956026073524054,0.5317235269616063,0.014825679205628,0.25342449450765714,2.337780720197154,False,False
C13,739,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,urban,pid,bitter,19400,1.391980903926446,0.4648942567750253,0.0027517613906962,0.48078816064739627,2.3031736472054956,False,False
C13,740,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,urban,provcd,bitter,19400,1.391980903926446,0.6127011691702525,0.0230940183580496,0.19108661235275104,2.592875195500141,False,False
C13,741,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,urban,pid,bitter,19400,1.2972016928471042,0.4729395952020785,0.0060908766511316,0.37024008625103033,2.224163299443178,False,False
C13,742,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,urban,provcd,bitter,19400,1.2972016928471042,0.5291074173022354,0.0142191333532418,0.26015115493472285,2.3342522307594855,False,False
C13,743,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,urban,pid,bitter,19400,1.3866393191450197,0.4655463589267157,0.0028964376432764,0.47416845564865695,2.2991101826413827,False,False
C13,744,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,urban,provcd,bitter,19400,1.3866393191450197,0.607005643334588,0.0223484565379996,0.19690825820922742,2.576370380080812,False,False
C13,745,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,rural,pid,bitter,18718,0.8278506426767241,0.583512580966408,0.155975828776427,-0.31583401601743544,1.9715353013708836,False,False
C13,746,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,rural,provcd,bitter,18718,0.8278506426767241,0.4346100761385381,0.056804467276366,-0.023985106554810454,1.6796863919082587,False,False
C13,747,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,rural,pid,bitter,18718,1.5860300788586454,0.5770517961461018,0.0059867616770142,0.4550085584122858,2.7170515993050053,False,False
C13,748,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,rural,provcd,bitter,18718,1.5860300788586454,0.5920086100914764,0.0073827862643904,0.42569320307935166,2.7463669546379395,False,False
C13,749,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,rural,pid,bitter,18716,0.7749761684913496,0.5874897346043214,0.1871251802412512,-0.3765037113331202,1.9264560483158195,False,False
C13,750,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,rural,provcd,bitter,18716,0.7749761684913496,0.4688998346639381,0.0983808998466312,-0.144067507449969,1.6940198444326682,False,False
C13,751,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,rural,pid,bitter,18716,1.07887827339815,0.5861407184490454,0.0656732758052238,-0.06995753476197897,2.227714081558279,False,False
C13,752,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,rural,provcd,bitter,18716,1.07887827339815,0.5893484524468979,0.0671559610134754,-0.07624469339777007,2.23400124019407,False,False
C13,753,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,rural,pid,bitter,18715,0.7748085288904659,0.5875079060648584,0.187234218442022,-0.3767069669966564,1.9263240247775881,False,False
C13,754,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,rural,provcd,bitter,18715,0.7748085288904659,0.4688683829047591,0.098431133306538,-0.1441735016028618,1.6937905593837936,False,False
C13,755,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,rural,pid,bitter,18715,1.0785563419064503,0.5861534306586162,0.065759714419087,-0.07030438218443757,2.2274170659973382,False,False
C13,756,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,rural,provcd,bitter,18715,1.0785563419064503,0.5899419057080149,0.067513298087016,-0.07772979328125884,2.2348424770941593,False,False
C13,757,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,young_lt40,pid,bitter,7251,-0.4748889412377702,0.694594446889759,0.4941694264757286,-1.836294057141698,0.8865161746661576,False,False
C13,758,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year,young_lt40,provcd,bitter,7251,-0.4748889412377702,0.4620873565115254,0.30408917060124696,-1.38058016000036,0.43080227752481953,False,False
C13,759,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,young_lt40,pid,bitter,7251,-0.902547066161583,0.6710755347131154,0.1786490696399876,-2.2178551141992893,0.4127609818761232,False,False
C13,760,ln_nonhousing_debts,mortgage_burden_lag,minimal,person_year_province,young_lt40,provcd,bitter,7251,-0.902547066161583,0.4649789080195586,0.05225227637708074,-1.8139057258799178,0.008811593556751873,False,False
C13,761,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,young_lt40,pid,bitter,7251,-0.5775050277771567,0.6913412497497152,0.4035262788441232,-1.9325338772865985,0.7775238217322851,False,False
C13,762,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year,young_lt40,provcd,bitter,7251,-0.5775050277771567,0.4949806864808741,0.24332251555752515,-1.5476671732796698,0.3926571177253565,False,False
C13,763,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,young_lt40,pid,bitter,7251,-0.6238010813056332,0.6727287483915266,0.35378644757201094,-1.9423494281530254,0.694747265541759,False,False
C13,764,ln_nonhousing_debts,mortgage_burden_lag,demog,person_year_province,young_lt40,provcd,bitter,7251,-0.6238010813056332,0.5170942535279399,0.22767926547254502,-1.6373058182203954,0.3897036556091291,False,False
C13,765,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,young_lt40,pid,bitter,7250,-0.52979471065732,0.6952885992347457,0.44607305363096383,-1.8925603651574217,0.8329709438427817,False,False
C13,766,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year,young_lt40,provcd,bitter,7250,-0.52979471065732,0.4852999106229217,0.27497151011205334,-1.4809825354782467,0.4213931141636066,False,False
C13,767,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,young_lt40,pid,bitter,7250,-0.6356117966071758,0.6754713354729271,0.3467099651151573,-1.9595356141341131,0.6883120209197614,False,False
C13,768,ln_nonhousing_debts,mortgage_burden_lag,extended,person_year_province,young_lt40,provcd,bitter,7250,-0.6356117966071758,0.514783270593387,0.21693574468968824,-1.6445870069702142,0.3733634137558627,False,False
C13,769,ln_nonhousing_debts,has_mortgage_lag,minimal,person_year,all,pid,bitter,40030,0.5854918109418716,0.1298651466498999,6.52998961858664e-06,0.33095612350806786,0.8400274983756755,False,False
C13,770,ln_nonhousing_debts,has_mortgage_lag,minimal,person_year,all,provcd,bitter,40030,0.5854918109418716,0.1437466661261495,4.639528488237232e-05,0.30374834533461864,0.8672352765491247,False,False
C13,771,ln_nonhousing_debts,has_mortgage_lag,minimal,person_year_province,all,pid,bitter,40030,0.6752138802011968,0.1269466764079723,1.0440913245091112e-07,0.42639839444157107,0.9240293659608225,False,False
C13,772,ln_nonhousing_debts,has_mortgage_lag,minimal,person_year_province,all,provcd,bitter,40030,0.6752138802011968,0.1725643524890491,9.122315260334801e-05,0.3369877493226605,1.013440011079733,False,False
C13,773,ln_nonhousing_debts,has_mortgage_lag,demog,person_year,all,pid,bitter,40028,0.4812618541556534,0.1325472962471553,0.0002824686611596,0.22146915351122903,0.7410545548000778,False,False
C13,774,ln_nonhousing_debts,has_mortgage_lag,demog,person_year,all,provcd,bitter,40028,0.4812618541556534,0.1362994896405355,0.0004141254756544,0.21411485446020384,0.748408853851103,False,False
C13,775,ln_nonhousing_debts,has_mortgage_lag,demog,person_year_province,all,pid,bitter,40028,0.4444702933341318,0.1297194477622038,0.0006116462662704,0.19022017572021238,0.6987204109480512,False,False
C13,776,ln_nonhousing_debts,has_mortgage_lag,demog,person_year_province,all,provcd,bitter,40028,0.4444702933341318,0.1504588473418241,0.0031358364220336,0.14957095254415653,0.7393696341241071,False,False
C13,777,ln_nonhousing_debts,has_mortgage_lag,extended,person_year,all,pid,bitter,40027,0.4822407545201855,0.1325912357847771,0.0002757800245348,0.2223619323820224,0.7421195766583486,False,False
C13,778,ln_nonhousing_debts,has_mortgage_lag,extended,person_year,all,provcd,bitter,40027,0.4822407545201855,0.1362063021407575,0.0003993436153886,0.21527640232430084,0.7492051067160701,False,False
C13,779,ln_nonhousing_debts,has_mortgage_lag,extended,person_year_province,all,pid,bitter,40027,0.4446674009142828,0.1297680214811296,0.0006111141253736,0.19032207881126884,0.6990127230172968,False,False
C13,780,ln_nonhousing_debts,has_mortgage_lag,extended,person_year_province,all,provcd,bitter,40027,0.4446674009142828,0.1504061689265029,0.003112088377989,0.14987130981833713,0.7394634920102285,False,False
C13,781,ln_nonhousing_debts,has_mortgage_lag,minimal,person_year,urban,pid,bitter,20031,0.8014502684833198,0.1626479989006068,8.328251857037118e-07,0.4826601906381305,1.120240346328509,False,False
